product_id,name,price,remain_num
4189,山果儿挂钟,5900,507
3533,山果儿文件袋（颜色随机）,390,5
3296,山果儿工业风书皮（颜色随机）,380,14
2722,学生作业本（款式随机）,640,13
2634,山果儿折叠款便签本,890,3
2555,山果儿便携随身本-语文好句本,890,94
2476,山果儿便携随身本-英语单词本,890,94
2397,山果儿便携随身本-数学公式本,890,94
2348,山果儿和纸胶带-蓝色,790,40
2269,山果儿和纸胶带-黄色,790,40
2190,山果儿和纸胶带-橙色,790,40
2104,山果儿书立,1500,11
2025,三色双线马克笔,1690,20
1885,山果儿学习笔袋（颜色随机）,3800,5
1674,山果儿趣味卡通U盘（颜色随机）,3990,15
1003,山果儿啦啦棒（颜色随机）,280,19
689,山果儿卡通钥匙串（颜色随机）,1080,83
603,山果儿卡套,1990,24
147,山果儿书包（颜色随机）,8900,393
896,山果儿徽章,590,94
