Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
login,1161,2946,87,7657,1740.01,2.067%,3.24572,3.59,1.11,1133.2
查询直播课列表（默认查询条件）,1633,2667,74,9183,2118.02,27.618%,4.56233,26.80,1.71,6014.1
获取直播班级,4812,2308,73,12730,2172.75,38.134%,13.39103,81.63,4.04,6242.4
强制升级接口,1151,3140,23,7451,1673.77,1.911%,3.21361,2.74,1.21,873.3
获取校区分组,1324,2552,74,8099,1941.95,25.906%,3.68843,72.22,0.97,20051.4
获取直播章节数据,4804,3413,24,8991,1590.24,2.748%,13.36040,37.03,6.36,2838.4
提交试卷,3755,1946,74,6540,1685.63,26.764%,10.45105,7.07,13.38,692.7
HomePage,1143,5348,25,10985,2817.71,2.012%,3.18565,10.59,1.23,3405.5
获取年级分组,1323,3308,24,7563,1529.59,2.646%,3.68314,4.96,1.40,1379.9
练一练年级筛选,1522,2058,75,6444,1688.73,24.639%,4.24312,6.05,1.12,1460.6
班课列表,4311,2728,73,15181,2476.14,39.179%,11.99019,55.16,4.80,4710.8
获取icon图标,1123,3217,23,7436,1657.95,2.137%,3.13372,14.07,1.16,4598.9
测评接口,1313,3499,24,8043,1620.28,3.351%,3.65093,4.53,1.58,1271.2
提交试卷—主观题,3752,2656,78,6898,1485.32,1.093%,10.43788,5.39,9.38,528.6
班课详情,4308,3663,24,13795,1628.89,2.252%,11.96707,88.22,4.92,7549.0
练一练列表——全部,1522,2850,26,7171,1550.10,1.511%,4.23938,14.99,1.79,3621.6
获取banner图,1116,3268,23,8216,1745.76,3.405%,3.10988,4.28,1.15,1410.1
直播课详情,1631,4231,24,9871,1972.48,2.698%,4.52837,21.60,1.90,4885.2
获取当前学生购物车商品数量,1103,3228,24,7935,1706.43,3.536%,3.07510,1.60,1.20,532.3
课程概述H5,1602,3228,25,13892,1478.28,2.747%,4.46953,22.42,1.52,5135.9
做入学测、试卷_开始页面,1296,3549,24,11037,2675.75,3.318%,3.60818,2.29,1.68,649.2
练一练列表——已做,1510,2668,25,6910,1612.98,1.788%,4.20027,6.13,1.81,1493.5
家校任务列表,1834,4710,75,15167,4059.02,31.679%,5.09862,12.73,1.33,2556.6
学生登录日志,1091,3282,24,12414,1797.99,3.850%,3.03856,1.47,2.12,495.7
获取直播课评价列表,1589,3302,23,7789,1547.62,3.902%,4.42652,8.43,1.96,1949.2
查看试卷列表,3711,2757,78,7102,1535.23,0.889%,10.33837,14.15,4.19,1401.7
老师主页—循环获取老师主页详情,1575,3722,23,9880,1864.64,4.508%,4.37499,20.05,1.84,4692.4
做入学测、试卷_题目页面,1283,3333,25,9818,2469.29,3.663%,3.57327,36.37,1.66,10422.4
查看章节详情,1831,5579,25,11412,2506.98,2.840%,5.10203,13.53,2.10,2714.9
做练习——开始页,1790,2081,23,6995,1435.56,2.682%,4.99406,2.93,2.21,600.5
HTTP Request,1261,4999,27,12118,2214.49,2.855%,3.52152,1.76,4.97,512.5
做练习——试题页,1775,2803,22,6914,1499.45,1.521%,4.94942,8.38,2.20,1734.6
查看练一练结果报告,1498,3890,25,13614,1649.34,1.068%,4.17488,140.96,1.70,34574.5
查看练一练解析,1472,3149,24,8945,1643.32,2.242%,4.11889,12.99,1.70,3228.6
查看练一练排行榜,1457,3821,25,8809,1638.55,1.441%,4.06928,21.31,1.75,5361.8
总体,69382,3174,22,15181,2119.07,10.762%,192.33509,784.90,94.71,4178.8
